No_row_of_csv_file,Axis,Description,Note
row001,x,Left_dorsal_lobe_contour_upper_secondary_landmark_01,
row002,x,Left_dorsal_lobe_contour_upper_secondary_landmark_02,
row003,x,Left_dorsal_lobe_contour_upper_secondary_landmark_03,
row004,x,Left_dorsal_lobe_contour_upper_secondary_landmark_04,
row005,x,Left_dorsal_lobe_contour_upper_secondary_landmark_05,
row006,x,Left_dorsal_lobe_contour_upper_secondary_landmark_06,
row007,x,Left_dorsal_lobe_contour_upper_secondary_landmark_07,
row008,x,Left_dorsal_lobe_midrib_distal_end_primary_landmark,
row009,x,Left_dorsal_lobe_contour_lower_secondary_landmark_01,
row010,x,Left_dorsal_lobe_contour_lower_secondary_landmark_02,
row011,x,Left_dorsal_lobe_contour_lower_secondary_landmark_03,
row012,x,Left_dorsal_lobe_contour_lower_secondary_landmark_04,
row013,x,Left_dorsal_lobe_contour_lower_secondary_landmark_05,
row014,x,Left_dorsal_lobe_contour_lower_secondary_landmark_06,
row015,x,Left_dorsal_lobe_contour_lower_secondary_landmark_07,
row016,x,Left_dorsal-lateral_lobes_intersection_primary_landmark,
row017,x,Left_lateral_lobe_contour_upper_secondary_landmark_01,
row018,x,Left_lateral_lobe_contour_upper_secondary_landmark_02,
row019,x,Left_lateral_lobe_contour_upper_secondary_landmark_03,
row020,x,Left_lateral_lobe_contour_upper_secondary_landmark_04,
row021,x,Left_lateral_lobe_contour_upper_secondary_landmark_05,
row022,x,Left_lateral_lobe_contour_upper_secondary_landmark_06,
row023,x,Left_lateral_lobe_contour_upper_secondary_landmark_07,
row024,x,Left_lateral_lobe_midrib_distal_end,
row025,x,Left_lateral_lobe_contour_lower_secondary_landmark_01,
row026,x,Left_lateral_lobe_contour_lower_secondary_landmark_02,
row027,x,Left_lateral_lobe_contour_lower_secondary_landmark_03,
row028,x,Left_lateral_lobe_contour_lower_secondary_landmark_04,
row029,x,Left_lateral_lobe_contour_lower_secondary_landmark_05,
row030,x,Left_lateral_lobe_contour_lower_secondary_landmark_06,
row031,x,Left_lateral_lobe_contour_lower_secondary_landmark_07,
row032,x,Left_lateral-ventral_lobes_intersection_primary_landmark,
row033,x,Ventral_lobe_left_contour_secondary_landmark_01,
row034,x,Ventral_lobe_left_contour_secondary_landmark_02,
row035,x,Ventral_lobe_left_contour_secondary_landmark_03,
row036,x,Ventral_lobe_left_contour_secondary_landmark_04,
row037,x,Ventral_lobe_left_contour_secondary_landmark_05,
row038,x,Ventral_lobe_left_contour_secondary_landmark_06,
row039,x,Ventral_lobe_left_contour_secondary_landmark_07,
row040,x,Ventral_lobe_midrib_distal_end_primary_landmark,
row041,x,Ventral_lobe_right_contour_secondary_landmark_01,
row042,x,Ventral_lobe_right_contour_secondary_landmark_02,
row043,x,Ventral_lobe_right_contour_secondary_landmark_03,
row044,x,Ventral_lobe_right_contour_secondary_landmark_04,
row045,x,Ventral_lobe_right_contour_secondary_landmark_05,
row046,x,Ventral_lobe_right_contour_secondary_landmark_06,
row047,x,Ventral_lobe_right_contour_secondary_landmark_07,
row048,x,Right_lateral-ventral_lobes_intersection_primary_landmark,
row049,x,Right_lateral_lobe_contour_lower_secondary_landmark_01,
row050,x,Right_lateral_lobe_contour_lower_secondary_landmark_02,
row051,x,Right_lateral_lobe_contour_lower_secondary_landmark_03,
row052,x,Right_lateral_lobe_contour_lower_secondary_landmark_04,
row053,x,Right_lateral_lobe_contour_lower_secondary_landmark_05,
row054,x,Right_lateral_lobe_contour_lower_secondary_landmark_06,
row055,x,Right_lateral_lobe_contour_lower_secondary_landmark_07,
row056,x,Right_lateral_lobe_midrib_distal_end_primary_landmark,
row057,x,Right_lateral_lobe_contour_upper_secondary_landmark_01,
row058,x,Right_lateral_lobe_contour_upper_secondary_landmark_02,
row059,x,Right_lateral_lobe_contour_upper_secondary_landmark_03,
row060,x,Right_lateral_lobe_contour_upper_secondary_landmark_04,
row061,x,Right_lateral_lobe_contour_upper_secondary_landmark_05,
row062,x,Right_lateral_lobe_contour_upper_secondary_landmark_06,
row063,x,Right_lateral_lobe_contour_upper_secondary_landmark_07,
row064,x,Right_dorsal-lateral_lobes_intersection_primary_landmark,
row065,x,Right_dorsal_lobe_contour_lower_secondary_landmark_01,
row066,x,Right_dorsal_lobe_contour_lower_secondary_landmark_02,
row067,x,Right_dorsal_lobe_contour_lower_secondary_landmark_03,
row068,x,Right_dorsal_lobe_contour_lower_secondary_landmark_04,
row069,x,Right_dorsal_lobe_contour_lower_secondary_landmark_05,
row070,x,Right_dorsal_lobe_contour_lower_secondary_landmark_06,
row071,x,Right_dorsal_lobe_contour_lower_secondary_landmark_07,
row072,x,Right_dorsal_lobe_midrib_distal_end_primary_landmark,
row073,x,Right_dorsal_lobe_contour_upper_secondary_landmark_01,
row074,x,Right_dorsal_lobe_contour_upper_secondary_landmark_02,
row075,x,Right_dorsal_lobe_contour_upper_secondary_landmark_03,
row076,x,Right_dorsal_lobe_contour_upper_secondary_landmark_04,
row077,x,Right_dorsal_lobe_contour_upper_secondary_landmark_05,
row078,x,Right_dorsal_lobe_contour_upper_secondary_landmark_06,
row079,x,Right_dorsal_lobe_contour_upper_secondary_landmark_07,
row080,x,Dorsal-dorsal_lobes_intersection_primary_landmark,
row081,x,Left_dorsal_lobe_midrib_secondary_landmark_01,
row082,x,Left_dorsal_lobe_midrib_secondary_landmark_02,
row083,x,Left_dorsal_lobe_midrib_secondary_landmark_03,
row084,x,Left_dorsal_lobe_midrib_secondary_landmark_04,
row085,x,Left_dorsal_lobe_midrib_secondary_landmark_05,
row086,x,Left_dorsal_lobe_midrib_secondary_landmark_06,
row087,x,Left_dorsal_lobe_midrib_secondary_landmark_07,
row088,x,Left_dorsal_lobe_midrib_proximal_end_primary_landmark/Left_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_124
row089,x,Left_lateral_lobe_midrib_secondary_landmark_01,
row090,x,Left_lateral_lobe_midrib_secondary_landmark_02,
row091,x,Left_lateral_lobe_midrib_secondary_landmark_03,
row092,x,Left_lateral_lobe_midrib_secondary_landmark_04,
row093,x,Left_lateral_lobe_midrib_secondary_landmark_05,
row094,x,Left_lateral_lobe_midrib_secondary_landmark_06,
row095,x,Left_lateral_lobe_midrib_secondary_landmark_07,
row096,x,Left_lateral_lobe_midrib_proximal_end_primary_landmark/Left_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_132
row097,x,Ventral_lobe_midrib_secondary_landmark_01,
row098,x,Ventral_lobe_midrib_secondary_landmark_02,
row099,x,Ventral_lobe_midrib_secondary_landmark_03,
row100,x,Ventral_lobe_midrib_secondary_landmark_04,
row101,x,Ventral_lobe_midrib_secondary_landmark_05,
row102,x,Ventral_lobe_midrib_secondary_landmark_06,
row103,x,Ventral_lobe_midrib_secondary_landmark_07,
row104,x,Ventral_lobe_midrib_proximal_end_primary_landmark/Ventral_tube_midrib_distal_end_primary_landmark,identical to landmark_140
row105,x,Right_lateral_lobe_midrib_secondary_landmark_01,
row106,x,Right_lateral_lobe_midrib_secondary_landmark_02,
row107,x,Right_lateral_lobe_midrib_secondary_landmark_03,
row108,x,Right_lateral_lobe_midrib_secondary_landmark_04,
row109,x,Right_lateral_lobe_midrib_secondary_landmark_05,
row110,x,Right_lateral_lobe_midrib_secondary_landmark_06,
row111,x,Right_lateral_lobe_midrib_secondary_landmark_07,
row112,x,Right_lateral_lobe_midrib_proximal_end_primary_landmark/Right_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_148
row113,x,Right_dorsal_lobe_midrib_secondary_landmark_01,
row114,x,Right_dorsal_lobe_midrib_secondary_landmark_02,
row115,x,Right_dorsal_lobe_midrib_secondary_landmark_03,
row116,x,Right_dorsal_lobe_midrib_secondary_landmark_04,
row117,x,Right_dorsal_lobe_midrib_secondary_landmark_05,
row118,x,Right_dorsal_lobe_midrib_secondary_landmark_06,
row119,x,Right_dorsal_lobe_midrib_secondary_landmark_07,
row120,x,Right_dorsal_lobe_midrib_proximal_end_primary_landmark/Right_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_156
row121,x,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_01,
row122,x,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_02,
row123,x,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_03,
row124,x,Left_dorsal_lobe_midrib_proximal_end_primary_landmark/Left_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_088
row125,x,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_01,
row126,x,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_02,
row127,x,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_03,
row128,x,Left_dorsal-lateral_lobes_intersection_primary_landmark,
row129,x,Left_lateral_lobe-tube_rim_upper_secondary_landmark_01,
row130,x,Left_lateral_lobe-tube_rim_upper_secondary_landmark_02,
row131,x,Left_lateral_lobe-tube_rim_upper_secondary_landmark_03,
row132,x,Left_lateral_lobe_midrib_proximal_end_primary_landmark/Left_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_096
row133,x,Left_lateral_lobe-tube_rim_lower_secondary_landmark_01,
row134,x,Left_lateral_lobe-tube_rim_lower_secondary_landmark_02,
row135,x,Left_lateral_lobe-tube_rim_lower_secondary_landmark_03,
row136,x,Left_lateral-ventral_lobes_intersection_primary_landmark,
row137,x,Ventral_lobe-tube_rim_left_secondary_landmark_01,
row138,x,Ventral_lobe-tube_rim_left_secondary_landmark_02,
row139,x,Ventral_lobe-tube_rim_left_secondary_landmark_03,
row140,x,Ventral_lobe_midrib_proximal_end_primary_landmark/Ventral_tube_midrib_distal_end_primary_landmark,identical to landmark_104
row141,x,Ventral_lobe-tube_rim_right_secondary_landmark_01,
row142,x,Ventral_lobe-tube_rim_right_secondary_landmark_02,
row143,x,Ventral_lobe-tube_rim_right_secondary_landmark_03,
row144,x,Right_lateral-ventral_lobes_intersection_primary_landmark,
row145,x,Right_lateral_lobe-tube_rim_lower_secondary_landmark_01,
row146,x,Right_lateral_lobe-tube_rim_lower_secondary_landmark_02,
row147,x,Right_lateral_lobe-tube_rim_lower_secondary_landmark_03,
row148,x,Right_lateral_lobe_midrib_proximal_end_primary_landmark/Right_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_112
row149,x,Right_lateral_lobe-tube_rim_upper_secondary_landmark_01,
row150,x,Right_lateral_lobe-tube_rim_upper_secondary_landmark_02,
row151,x,Right_lateral_lobe-tube_rim_upper_secondary_landmark_03,
row152,x,Right_dorsal-lateral_lobes_intersection_primary_landmark,
row153,x,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_01,
row154,x,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_02,
row155,x,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_03,
row156,x,Right_dorsal_lobe_midrib_proximal_end_primary_landmark/Right_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_120
row157,x,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_01,
row158,x,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_02,
row159,x,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_03,
row160,x,Dorsal-dorsal_lobes_intersection_primary_landmark,
row161,x,Left_dorsal_tube_midrib_secondary_landmark_01,
row162,x,Left_dorsal_tube_midrib_secondary_landmark_02,
row163,x,Left_dorsal_tube_midrib_secondary_landmark_03,
row164,x,Left_dorsal_tube_midrib_secondary_landmark_04,
row165,x,Left_dorsal_tube_midrib_secondary_landmark_05,
row166,x,Left_dorsal_tube_midrib_secondary_landmark_06,
row167,x,Left_dorsal_tube_midrib_secondary_landmark_07,
row168,x,Left_dorsal_tube_midrib_secondary_landmark_08,
row169,x,Left_dorsal_tube_midrib_secondary_landmark_09,
row170,x,Left_dorsal_tube_midrib_secondary_landmark_10,
row171,x,Left_dorsal_tube_midrib_secondary_landmark_11,
row172,x,Left_dorsal_tube_midrib_secondary_landmark_12,
row173,x,Left_dorsal_tube_midrib_secondary_landmark_13,
row174,x,Left_dorsal_tube_midrib_secondary_landmark_14,
row175,x,Left_dorsal_tube_midrib_secondary_landmark_15,
row176,x,Left_dorsal_tube_midrib_secondary_landmark_16,
row177,x,Left_dorsal_tube_midrib_secondary_landmark_17,
row178,x,Left_dorsal_tube_midrib_secondary_landmark_18,
row179,x,Left_dorsal_tube_midrib_secondary_landmark_19,
row180,x,Left_dorsal_tube_midrib_secondary_landmark_20,
row181,x,Left_dorsal_tube_midrib_secondary_landmark_21,
row182,x,Left_dorsal_tube_midrib_secondary_landmark_22,
row183,x,Left_dorsal_tube_midrib_secondary_landmark_23,
row184,x,Left_dorsal_tube_midrib_secondary_landmark_24,
row185,x,Left_dorsal_tube_midrib_secondary_landmark_25,
row186,x,Left_dorsal_tube_midrib_proximal_end_primary_landmark,
row187,x,Left_lateral_tube_midrib_secondary_landmark_01,
row188,x,Left_lateral_tube_midrib_secondary_landmark_02,
row189,x,Left_lateral_tube_midrib_secondary_landmark_03,
row190,x,Left_lateral_tube_midrib_secondary_landmark_04,
row191,x,Left_lateral_tube_midrib_secondary_landmark_05,
row192,x,Left_lateral_tube_midrib_secondary_landmark_06,
row193,x,Left_lateral_tube_midrib_secondary_landmark_07,
row194,x,Left_lateral_tube_midrib_secondary_landmark_08,
row195,x,Left_lateral_tube_midrib_secondary_landmark_09,
row196,x,Left_lateral_tube_midrib_secondary_landmark_10,
row197,x,Left_lateral_tube_midrib_secondary_landmark_11,
row198,x,Left_lateral_tube_midrib_secondary_landmark_12,
row199,x,Left_lateral_tube_midrib_secondary_landmark_13,
row200,x,Left_lateral_tube_midrib_secondary_landmark_14,
row201,x,Left_lateral_tube_midrib_secondary_landmark_15,
row202,x,Left_lateral_tube_midrib_secondary_landmark_16,
row203,x,Left_lateral_tube_midrib_secondary_landmark_17,
row204,x,Left_lateral_tube_midrib_secondary_landmark_18,
row205,x,Left_lateral_tube_midrib_secondary_landmark_19,
row206,x,Left_lateral_tube_midrib_secondary_landmark_20,
row207,x,Left_lateral_tube_midrib_secondary_landmark_21,
row208,x,Left_lateral_tube_midrib_secondary_landmark_22,
row209,x,Left_lateral_tube_midrib_secondary_landmark_23,
row210,x,Left_lateral_tube_midrib_secondary_landmark_24,
row211,x,Left_lateral_tube_midrib_secondary_landmark_25,
row212,x,Left_lateral_tube_midrib_proximal_end_primary_landmark,
row213,x,Ventral_tube_midrib_secondary_landmark_01,
row214,x,Ventral_tube_midrib_secondary_landmark_02,
row215,x,Ventral_tube_midrib_secondary_landmark_03,
row216,x,Ventral_tube_midrib_secondary_landmark_04,
row217,x,Ventral_tube_midrib_secondary_landmark_05,
row218,x,Ventral_tube_midrib_secondary_landmark_06,
row219,x,Ventral_tube_midrib_secondary_landmark_07,
row220,x,Ventral_tube_midrib_secondary_landmark_08,
row221,x,Ventral_tube_midrib_secondary_landmark_09,
row222,x,Ventral_tube_midrib_secondary_landmark_10,
row223,x,Ventral_tube_midrib_secondary_landmark_11,
row224,x,Ventral_tube_midrib_secondary_landmark_12,
row225,x,Ventral_tube_midrib_secondary_landmark_13,
row226,x,Ventral_tube_midrib_secondary_landmark_14,
row227,x,Ventral_tube_midrib_secondary_landmark_15,
row228,x,Ventral_tube_midrib_secondary_landmark_16,
row229,x,Ventral_tube_midrib_secondary_landmark_17,
row230,x,Ventral_tube_midrib_secondary_landmark_18,
row231,x,Ventral_tube_midrib_secondary_landmark_19,
row232,x,Ventral_tube_midrib_secondary_landmark_20,
row233,x,Ventral_tube_midrib_secondary_landmark_21,
row234,x,Ventral_tube_midrib_secondary_landmark_22,
row235,x,Ventral_tube_midrib_secondary_landmark_23,
row236,x,Ventral_tube_midrib_secondary_landmark_24,
row237,x,Ventral_tube_midrib_secondary_landmark_25,
row238,x,Ventral_tube_midrib_proximal_end_primary_landmark,
row239,x,Right_lateral_tube_midrib_secondary_landmark_01,
row240,x,Right_lateral_tube_midrib_secondary_landmark_02,
row241,x,Right_lateral_tube_midrib_secondary_landmark_03,
row242,x,Right_lateral_tube_midrib_secondary_landmark_04,
row243,x,Right_lateral_tube_midrib_secondary_landmark_05,
row244,x,Right_lateral_tube_midrib_secondary_landmark_06,
row245,x,Right_lateral_tube_midrib_secondary_landmark_07,
row246,x,Right_lateral_tube_midrib_secondary_landmark_08,
row247,x,Right_lateral_tube_midrib_secondary_landmark_09,
row248,x,Right_lateral_tube_midrib_secondary_landmark_10,
row249,x,Right_lateral_tube_midrib_secondary_landmark_11,
row250,x,Right_lateral_tube_midrib_secondary_landmark_12,
row251,x,Right_lateral_tube_midrib_secondary_landmark_13,
row252,x,Right_lateral_tube_midrib_secondary_landmark_14,
row253,x,Right_lateral_tube_midrib_secondary_landmark_15,
row254,x,Right_lateral_tube_midrib_secondary_landmark_16,
row255,x,Right_lateral_tube_midrib_secondary_landmark_17,
row256,x,Right_lateral_tube_midrib_secondary_landmark_18,
row257,x,Right_lateral_tube_midrib_secondary_landmark_19,
row258,x,Right_lateral_tube_midrib_secondary_landmark_20,
row259,x,Right_lateral_tube_midrib_secondary_landmark_21,
row260,x,Right_lateral_tube_midrib_secondary_landmark_22,
row261,x,Right_lateral_tube_midrib_secondary_landmark_23,
row262,x,Right_lateral_tube_midrib_secondary_landmark_24,
row263,x,Right_lateral_tube_midrib_secondary_landmark_25,
row264,x,Right_lateral_tube_midrib_proximal_end_primary_landmark,
row265,x,Right_dorsal_tube_midrib_secondary_landmark_01,
row266,x,Right_dorsal_tube_midrib_secondary_landmark_02,
row267,x,Right_dorsal_tube_midrib_secondary_landmark_03,
row268,x,Right_dorsal_tube_midrib_secondary_landmark_04,
row269,x,Right_dorsal_tube_midrib_secondary_landmark_05,
row270,x,Right_dorsal_tube_midrib_secondary_landmark_06,
row271,x,Right_dorsal_tube_midrib_secondary_landmark_07,
row272,x,Right_dorsal_tube_midrib_secondary_landmark_08,
row273,x,Right_dorsal_tube_midrib_secondary_landmark_09,
row274,x,Right_dorsal_tube_midrib_secondary_landmark_10,
row275,x,Right_dorsal_tube_midrib_secondary_landmark_11,
row276,x,Right_dorsal_tube_midrib_secondary_landmark_12,
row277,x,Right_dorsal_tube_midrib_secondary_landmark_13,
row278,x,Right_dorsal_tube_midrib_secondary_landmark_14,
row279,x,Right_dorsal_tube_midrib_secondary_landmark_15,
row280,x,Right_dorsal_tube_midrib_secondary_landmark_16,
row281,x,Right_dorsal_tube_midrib_secondary_landmark_17,
row282,x,Right_dorsal_tube_midrib_secondary_landmark_18,
row283,x,Right_dorsal_tube_midrib_secondary_landmark_19,
row284,x,Right_dorsal_tube_midrib_secondary_landmark_20,
row285,x,Right_dorsal_tube_midrib_secondary_landmark_21,
row286,x,Right_dorsal_tube_midrib_secondary_landmark_22,
row287,x,Right_dorsal_tube_midrib_secondary_landmark_23,
row288,x,Right_dorsal_tube_midrib_secondary_landmark_24,
row289,x,Right_dorsal_tube_midrib_secondary_landmark_25,
row290,x,Right_dorsal_tube_midrib_proximal_end_primary_landmark,
row291,x,Dorsal-dorsal_tube_rim_secondary_landmark_01,
row292,x,Dorsal-dorsal_tube_rim_secondary_landmark_02,
row293,x,Dorsal-dorsal_tube_rim_secondary_landmark_03,
row294,x,Dorsal-dorsal_tube_rim_secondary_landmark_04,
row295,x,Dorsal-dorsal_tube_rim_secondary_landmark_05,
row296,x,Dorsal-dorsal_tube_rim_secondary_landmark_06,
row297,x,Dorsal-dorsal_tube_rim_secondary_landmark_07,
row298,x,Dorsal-dorsal_tube_rim_secondary_landmark_08,
row299,x,Dorsal-dorsal_tube_rim_secondary_landmark_09,
row300,x,Dorsal-dorsal_tube_rim_secondary_landmark_10,
row301,x,Dorsal-dorsal_tube_rim_secondary_landmark_11,
row302,x,Dorsal-dorsal_tube_rim_secondary_landmark_12,
row303,x,Dorsal-dorsal_tube_rim_secondary_landmark_13,
row304,x,Dorsal-dorsal_tube_rim_secondary_landmark_14,
row305,x,Dorsal-dorsal_tube_rim_secondary_landmark_15,
row306,x,Dorsal-dorsal_tube_rim_secondary_landmark_16,
row307,x,Dorsal-dorsal_tube_rim_secondary_landmark_17,
row308,x,Dorsal-dorsal_tube_rim_secondary_landmark_18,
row309,x,Dorsal-dorsal_tube_rim_secondary_landmark_19,
row310,x,Dorsal-dorsal_tube_rim_secondary_landmark_20,
row311,x,Dorsal-dorsal_tube_rim_secondary_landmark_21,
row312,x,Dorsal-dorsal_tube_rim_secondary_landmark_22,
row313,x,Dorsal-dorsal_tube_rim_secondary_landmark_23,
row314,x,Dorsal-dorsal_tube_rim_secondary_landmark_24,
row315,x,Dorsal-dorsal_tube_rim_secondary_landmark_25,
row316,x,Dorsal-dorsal_tube_rim_proximal_end_primary_landmark,
row317,x,Left_dorsal-lateral_tube_rim_secondary_landmark_01,
row318,x,Left_dorsal-lateral_tube_rim_secondary_landmark_02,
