No_row_of_csv_file,Axis,Description,Note
row945,z,Right_lateral_lobe_midrib_secondary_landmark_01,
row946,z,Right_lateral_lobe_midrib_secondary_landmark_02,
row947,z,Right_lateral_lobe_midrib_secondary_landmark_03,
row948,z,Right_lateral_lobe_midrib_secondary_landmark_04,
row949,z,Right_lateral_lobe_midrib_secondary_landmark_05,
row950,z,Right_lateral_lobe_midrib_secondary_landmark_06,
row951,z,Right_lateral_lobe_midrib_secondary_landmark_07,
row952,z,Right_lateral_lobe_midrib_proximal_end_primary_landmark/Right_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_148
row953,z,Right_dorsal_lobe_midrib_secondary_landmark_01,
row954,z,Right_dorsal_lobe_midrib_secondary_landmark_02,
row955,z,Right_dorsal_lobe_midrib_secondary_landmark_03,
row956,z,Right_dorsal_lobe_midrib_secondary_landmark_04,
row957,z,Right_dorsal_lobe_midrib_secondary_landmark_05,
row958,z,Right_dorsal_lobe_midrib_secondary_landmark_06,
row959,z,Right_dorsal_lobe_midrib_secondary_landmark_07,
row960,z,Right_dorsal_lobe_midrib_proximal_end_primary_landmark/Right_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_156
row961,z,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_01,
row962,z,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_02,
row963,z,Left_dorsal_lobe-tube_rim_upper_secondary_landmark_03,
row964,z,Left_dorsal_lobe_midrib_proximal_end_primary_landmark/Left_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_088
row965,z,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_01,
row966,z,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_02,
row967,z,Left_dorsal_lobe-tube_rim_lower_secondary_landmark_03,
row968,z,Left_dorsal-lateral_lobes_intersection_primary_landmark,identical to landmark_016
row969,z,Left_lateral_lobe-tube_rim_upper_secondary_landmark_01,
row970,z,Left_lateral_lobe-tube_rim_upper_secondary_landmark_02,
row971,z,Left_lateral_lobe-tube_rim_upper_secondary_landmark_03,
row972,z,Left_lateral_lobe_midrib_proximal_end_primary_landmark/Left_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_096
row973,z,Left_lateral_lobe-tube_rim_lower_secondary_landmark_01,
row974,z,Left_lateral_lobe-tube_rim_lower_secondary_landmark_02,
row975,z,Left_lateral_lobe-tube_rim_lower_secondary_landmark_03,
row976,z,Left_lateral-ventral_lobes_intersection_primary_landmark,identical to landmark_032
row977,z,Ventral_lobe-tube_rim_left_secondary_landmark_01,
row978,z,Ventral_lobe-tube_rim_left_secondary_landmark_02,
row979,z,Ventral_lobe-tube_rim_left_secondary_landmark_03,
row980,z,Ventral_lobe_midrib_proximal_end_primary_landmark/Ventral_tube_midrib_distal_end_primary_landmark,identical to landmark_104
row981,z,Ventral_lobe-tube_rim_right_secondary_landmark_01,
row982,z,Ventral_lobe-tube_rim_right_secondary_landmark_02,
row983,z,Ventral_lobe-tube_rim_right_secondary_landmark_03,
row984,z,Right_lateral-ventral_lobes_intersection_primary_landmark,identical to landmark_048
row985,z,Right_lateral_lobe-tube_rim_lower_secondary_landmark_01,
row986,z,Right_lateral_lobe-tube_rim_lower_secondary_landmark_02,
row987,z,Right_lateral_lobe-tube_rim_lower_secondary_landmark_03,
row988,z,Right_lateral_lobe_midrib_proximal_end_primary_landmark/Right_lateral_tube_midrib_distal_end_primary_landmark,identical to landmark_112
row989,z,Right_lateral_lobe-tube_rim_upper_secondary_landmark_01,
row990,z,Right_lateral_lobe-tube_rim_upper_secondary_landmark_02,
row991,z,Right_lateral_lobe-tube_rim_upper_secondary_landmark_03,
row992,z,Right_dorsal-lateral_lobes_intersection_primary_landmark,identical to landmark_064
row993,z,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_01,
row994,z,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_02,
row995,z,Right_dorsal_lobe-tube_rim_lower_secondary_landmark_03,
row996,z,Right_dorsal_lobe_midrib_proximal_end_primary_landmark/Right_dorsal_tube_midrib_distal_end_primary_landmark,identical to landmark_120
row997,z,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_01,
row998,z,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_02,
row999,z,Right_dorsal_lobe-tube_rim_upper_secondary_landmark_03,
row1000,z,Dorsal-dorsal_lobes_intersection_primary_landmark,identical to landmark_80
row1001,z,Left_dorsal_tube_midrib_secondary_landmark_01,
row1002,z,Left_dorsal_tube_midrib_secondary_landmark_02,
row1003,z,Left_dorsal_tube_midrib_secondary_landmark_03,
row1004,z,Left_dorsal_tube_midrib_secondary_landmark_04,
row1005,z,Left_dorsal_tube_midrib_secondary_landmark_05,
row1006,z,Left_dorsal_tube_midrib_secondary_landmark_06,
row1007,z,Left_dorsal_tube_midrib_secondary_landmark_07,
row1008,z,Left_dorsal_tube_midrib_secondary_landmark_08,
row1009,z,Left_dorsal_tube_midrib_secondary_landmark_09,
row1010,z,Left_dorsal_tube_midrib_secondary_landmark_10,
row1011,z,Left_dorsal_tube_midrib_secondary_landmark_11,
row1012,z,Left_dorsal_tube_midrib_secondary_landmark_12,
row1013,z,Left_dorsal_tube_midrib_secondary_landmark_13,
row1014,z,Left_dorsal_tube_midrib_secondary_landmark_14,
row1015,z,Left_dorsal_tube_midrib_secondary_landmark_15,
row1016,z,Left_dorsal_tube_midrib_secondary_landmark_16,
row1017,z,Left_dorsal_tube_midrib_secondary_landmark_17,
row1018,z,Left_dorsal_tube_midrib_secondary_landmark_18,
row1019,z,Left_dorsal_tube_midrib_secondary_landmark_19,
row1020,z,Left_dorsal_tube_midrib_secondary_landmark_20,
row1021,z,Left_dorsal_tube_midrib_secondary_landmark_21,
row1022,z,Left_dorsal_tube_midrib_secondary_landmark_22,
row1023,z,Left_dorsal_tube_midrib_secondary_landmark_23,
row1024,z,Left_dorsal_tube_midrib_secondary_landmark_24,
row1025,z,Left_dorsal_tube_midrib_secondary_landmark_25,
row1026,z,Left_dorsal_tube_midrib_proximal_end_primary_landmark,
row1027,z,Left_lateral_tube_midrib_secondary_landmark_01,
row1028,z,Left_lateral_tube_midrib_secondary_landmark_02,
row1029,z,Left_lateral_tube_midrib_secondary_landmark_03,
row1030,z,Left_lateral_tube_midrib_secondary_landmark_04,
row1031,z,Left_lateral_tube_midrib_secondary_landmark_05,
row1032,z,Left_lateral_tube_midrib_secondary_landmark_06,
row1033,z,Left_lateral_tube_midrib_secondary_landmark_07,
row1034,z,Left_lateral_tube_midrib_secondary_landmark_08,
row1035,z,Left_lateral_tube_midrib_secondary_landmark_09,
row1036,z,Left_lateral_tube_midrib_secondary_landmark_10,
row1037,z,Left_lateral_tube_midrib_secondary_landmark_11,
row1038,z,Left_lateral_tube_midrib_secondary_landmark_12,
row1039,z,Left_lateral_tube_midrib_secondary_landmark_13,
row1040,z,Left_lateral_tube_midrib_secondary_landmark_14,
row1041,z,Left_lateral_tube_midrib_secondary_landmark_15,
row1042,z,Left_lateral_tube_midrib_secondary_landmark_16,
row1043,z,Left_lateral_tube_midrib_secondary_landmark_17,
row1044,z,Left_lateral_tube_midrib_secondary_landmark_18,
row1045,z,Left_lateral_tube_midrib_secondary_landmark_19,
row1046,z,Left_lateral_tube_midrib_secondary_landmark_20,
row1047,z,Left_lateral_tube_midrib_secondary_landmark_21,
row1048,z,Left_lateral_tube_midrib_secondary_landmark_22,
row1049,z,Left_lateral_tube_midrib_secondary_landmark_23,
row1050,z,Left_lateral_tube_midrib_secondary_landmark_24,
row1051,z,Left_lateral_tube_midrib_secondary_landmark_25,
row1052,z,Left_lateral_tube_midrib_proximal_end_primary_landmark,
row1053,z,Ventral_tube_midrib_secondary_landmark_01,
row1054,z,Ventral_tube_midrib_secondary_landmark_02,
row1055,z,Ventral_tube_midrib_secondary_landmark_03,
row1056,z,Ventral_tube_midrib_secondary_landmark_04,
row1057,z,Ventral_tube_midrib_secondary_landmark_05,
row1058,z,Ventral_tube_midrib_secondary_landmark_06,
row1059,z,Ventral_tube_midrib_secondary_landmark_07,
row1060,z,Ventral_tube_midrib_secondary_landmark_08,
row1061,z,Ventral_tube_midrib_secondary_landmark_09,
row1062,z,Ventral_tube_midrib_secondary_landmark_10,
row1063,z,Ventral_tube_midrib_secondary_landmark_11,
row1064,z,Ventral_tube_midrib_secondary_landmark_12,
row1065,z,Ventral_tube_midrib_secondary_landmark_13,
row1066,z,Ventral_tube_midrib_secondary_landmark_14,
row1067,z,Ventral_tube_midrib_secondary_landmark_15,
row1068,z,Ventral_tube_midrib_secondary_landmark_16,
row1069,z,Ventral_tube_midrib_secondary_landmark_17,
row1070,z,Ventral_tube_midrib_secondary_landmark_18,
row1071,z,Ventral_tube_midrib_secondary_landmark_19,
row1072,z,Ventral_tube_midrib_secondary_landmark_20,
row1073,z,Ventral_tube_midrib_secondary_landmark_21,
row1074,z,Ventral_tube_midrib_secondary_landmark_22,
row1075,z,Ventral_tube_midrib_secondary_landmark_23,
row1076,z,Ventral_tube_midrib_secondary_landmark_24,
row1077,z,Ventral_tube_midrib_secondary_landmark_25,
row1078,z,Ventral_tube_midrib_proximal_end_primary_landmark,
row1079,z,Right_lateral_tube_midrib_secondary_landmark_01,
row1080,z,Right_lateral_tube_midrib_secondary_landmark_02,
row1081,z,Right_lateral_tube_midrib_secondary_landmark_03,
row1082,z,Right_lateral_tube_midrib_secondary_landmark_04,
row1083,z,Right_lateral_tube_midrib_secondary_landmark_05,
row1084,z,Right_lateral_tube_midrib_secondary_landmark_06,
row1085,z,Right_lateral_tube_midrib_secondary_landmark_07,
row1086,z,Right_lateral_tube_midrib_secondary_landmark_08,
row1087,z,Right_lateral_tube_midrib_secondary_landmark_09,
row1088,z,Right_lateral_tube_midrib_secondary_landmark_10,
row1089,z,Right_lateral_tube_midrib_secondary_landmark_11,
row1090,z,Right_lateral_tube_midrib_secondary_landmark_12,
row1091,z,Right_lateral_tube_midrib_secondary_landmark_13,
row1092,z,Right_lateral_tube_midrib_secondary_landmark_14,
row1093,z,Right_lateral_tube_midrib_secondary_landmark_15,
row1094,z,Right_lateral_tube_midrib_secondary_landmark_16,
row1095,z,Right_lateral_tube_midrib_secondary_landmark_17,
row1096,z,Right_lateral_tube_midrib_secondary_landmark_18,
row1097,z,Right_lateral_tube_midrib_secondary_landmark_19,
row1098,z,Right_lateral_tube_midrib_secondary_landmark_20,
row1099,z,Right_lateral_tube_midrib_secondary_landmark_21,
row1100,z,Right_lateral_tube_midrib_secondary_landmark_22,
row1101,z,Right_lateral_tube_midrib_secondary_landmark_23,
row1102,z,Right_lateral_tube_midrib_secondary_landmark_24,
row1103,z,Right_lateral_tube_midrib_secondary_landmark_25,
row1104,z,Right_lateral_tube_midrib_proximal_end_primary_landmark,
row1105,z,Right_dorsal_tube_midrib_secondary_landmark_01,
row1106,z,Right_dorsal_tube_midrib_secondary_landmark_02,
row1107,z,Right_dorsal_tube_midrib_secondary_landmark_03,
row1108,z,Right_dorsal_tube_midrib_secondary_landmark_04,
row1109,z,Right_dorsal_tube_midrib_secondary_landmark_05,
row1110,z,Right_dorsal_tube_midrib_secondary_landmark_06,
row1111,z,Right_dorsal_tube_midrib_secondary_landmark_07,
row1112,z,Right_dorsal_tube_midrib_secondary_landmark_08,
row1113,z,Right_dorsal_tube_midrib_secondary_landmark_09,
row1114,z,Right_dorsal_tube_midrib_secondary_landmark_10,
row1115,z,Right_dorsal_tube_midrib_secondary_landmark_11,
row1116,z,Right_dorsal_tube_midrib_secondary_landmark_12,
row1117,z,Right_dorsal_tube_midrib_secondary_landmark_13,
row1118,z,Right_dorsal_tube_midrib_secondary_landmark_14,
row1119,z,Right_dorsal_tube_midrib_secondary_landmark_15,
row1120,z,Right_dorsal_tube_midrib_secondary_landmark_16,
row1121,z,Right_dorsal_tube_midrib_secondary_landmark_17,
row1122,z,Right_dorsal_tube_midrib_secondary_landmark_18,
row1123,z,Right_dorsal_tube_midrib_secondary_landmark_19,
row1124,z,Right_dorsal_tube_midrib_secondary_landmark_20,
row1125,z,Right_dorsal_tube_midrib_secondary_landmark_21,
row1126,z,Right_dorsal_tube_midrib_secondary_landmark_22,
row1127,z,Right_dorsal_tube_midrib_secondary_landmark_23,
row1128,z,Right_dorsal_tube_midrib_secondary_landmark_24,
row1129,z,Right_dorsal_tube_midrib_secondary_landmark_25,
row1130,z,Right_dorsal_tube_midrib_proximal_end_primary_landmark,
row1131,z,Dorsal-dorsal_tube_rim_secondary_landmark_01,
row1132,z,Dorsal-dorsal_tube_rim_secondary_landmark_02,
row1133,z,Dorsal-dorsal_tube_rim_secondary_landmark_03,
row1134,z,Dorsal-dorsal_tube_rim_secondary_landmark_04,
row1135,z,Dorsal-dorsal_tube_rim_secondary_landmark_05,
row1136,z,Dorsal-dorsal_tube_rim_secondary_landmark_06,
row1137,z,Dorsal-dorsal_tube_rim_secondary_landmark_07,
row1138,z,Dorsal-dorsal_tube_rim_secondary_landmark_08,
row1139,z,Dorsal-dorsal_tube_rim_secondary_landmark_09,
row1140,z,Dorsal-dorsal_tube_rim_secondary_landmark_10,
row1141,z,Dorsal-dorsal_tube_rim_secondary_landmark_11,
row1142,z,Dorsal-dorsal_tube_rim_secondary_landmark_12,
row1143,z,Dorsal-dorsal_tube_rim_secondary_landmark_13,
row1144,z,Dorsal-dorsal_tube_rim_secondary_landmark_14,
row1145,z,Dorsal-dorsal_tube_rim_secondary_landmark_15,
row1146,z,Dorsal-dorsal_tube_rim_secondary_landmark_16,
row1147,z,Dorsal-dorsal_tube_rim_secondary_landmark_17,
row1148,z,Dorsal-dorsal_tube_rim_secondary_landmark_18,
row1149,z,Dorsal-dorsal_tube_rim_secondary_landmark_19,
row1150,z,Dorsal-dorsal_tube_rim_secondary_landmark_20,
row1151,z,Dorsal-dorsal_tube_rim_secondary_landmark_21,
row1152,z,Dorsal-dorsal_tube_rim_secondary_landmark_22,
row1153,z,Dorsal-dorsal_tube_rim_secondary_landmark_23,
row1154,z,Dorsal-dorsal_tube_rim_secondary_landmark_24,
row1155,z,Dorsal-dorsal_tube_rim_secondary_landmark_25,
row1156,z,Dorsal-dorsal_tube_rim_proximal_end_primary_landmark,
row1157,z,Left_dorsal-lateral_tube_rim_secondary_landmark_01,
row1158,z,Left_dorsal-lateral_tube_rim_secondary_landmark_02,
row1159,z,Left_dorsal-lateral_tube_rim_secondary_landmark_03,
row1160,z,Left_dorsal-lateral_tube_rim_secondary_landmark_04,
row1161,z,Left_dorsal-lateral_tube_rim_secondary_landmark_05,
row1162,z,Left_dorsal-lateral_tube_rim_secondary_landmark_06,
row1163,z,Left_dorsal-lateral_tube_rim_secondary_landmark_07,
row1164,z,Left_dorsal-lateral_tube_rim_secondary_landmark_08,
row1165,z,Left_dorsal-lateral_tube_rim_secondary_landmark_09,
row1166,z,Left_dorsal-lateral_tube_rim_secondary_landmark_10,
row1167,z,Left_dorsal-lateral_tube_rim_secondary_landmark_11,
row1168,z,Left_dorsal-lateral_tube_rim_secondary_landmark_12,
row1169,z,Left_dorsal-lateral_tube_rim_secondary_landmark_13,
row1170,z,Left_dorsal-lateral_tube_rim_secondary_landmark_14,
row1171,z,Left_dorsal-lateral_tube_rim_secondary_landmark_15,
row1172,z,Left_dorsal-lateral_tube_rim_secondary_landmark_16,
row1173,z,Left_dorsal-lateral_tube_rim_secondary_landmark_17,
row1174,z,Left_dorsal-lateral_tube_rim_secondary_landmark_18,
row1175,z,Left_dorsal-lateral_tube_rim_secondary_landmark_19,
row1176,z,Left_dorsal-lateral_tube_rim_secondary_landmark_20,
row1177,z,Left_dorsal-lateral_tube_rim_secondary_landmark_21,
row1178,z,Left_dorsal-lateral_tube_rim_secondary_landmark_22,
row1179,z,Left_dorsal-lateral_tube_rim_secondary_landmark_23,
row1180,z,Left_dorsal-lateral_tube_rim_secondary_landmark_24,
row1181,z,Left_dorsal-lateral_tube_rim_secondary_landmark_25,
row1182,z,Left_dorsal-lateral_tube_rim_proximal_end_primary_landmark,
row1183,z,Left_lateral-ventral_tube_rim_secondary_landmark_01,
row1184,z,Left_lateral-ventral_tube_rim_secondary_landmark_02,
row1185,z,Left_lateral-ventral_tube_rim_secondary_landmark_03,
row1186,z,Left_lateral-ventral_tube_rim_secondary_landmark_04,
row1187,z,Left_lateral-ventral_tube_rim_secondary_landmark_05,
row1188,z,Left_lateral-ventral_tube_rim_secondary_landmark_06,
row1189,z,Left_lateral-ventral_tube_rim_secondary_landmark_07,
row1190,z,Left_lateral-ventral_tube_rim_secondary_landmark_08,
row1191,z,Left_lateral-ventral_tube_rim_secondary_landmark_09,
row1192,z,Left_lateral-ventral_tube_rim_secondary_landmark_10,
row1193,z,Left_lateral-ventral_tube_rim_secondary_landmark_11,
row1194,z,Left_lateral-ventral_tube_rim_secondary_landmark_12,
row1195,z,Left_lateral-ventral_tube_rim_secondary_landmark_13,
row1196,z,Left_lateral-ventral_tube_rim_secondary_landmark_14,
row1197,z,Left_lateral-ventral_tube_rim_secondary_landmark_15,
row1198,z,Left_lateral-ventral_tube_rim_secondary_landmark_16,
row1199,z,Left_lateral-ventral_tube_rim_secondary_landmark_17,
row1200,z,Left_lateral-ventral_tube_rim_secondary_landmark_18,
row1201,z,Left_lateral-ventral_tube_rim_secondary_landmark_19,
row1202,z,Left_lateral-ventral_tube_rim_secondary_landmark_20,
row1203,z,Left_lateral-ventral_tube_rim_secondary_landmark_21,
row1204,z,Left_lateral-ventral_tube_rim_secondary_landmark_22,
row1205,z,Left_lateral-ventral_tube_rim_secondary_landmark_23,
row1206,z,Left_lateral-ventral_tube_rim_secondary_landmark_24,
row1207,z,Left_lateral-ventral_tube_rim_secondary_landmark_25,
row1208,z,Left_lateral-ventral_tube_rim_proximal_end_primary_landmark,
row1209,z,Right_lateral-ventral_tube_rim_secondary_landmark_01,
row1210,z,Right_lateral-ventral_tube_rim_secondary_landmark_02,
row1211,z,Right_lateral-ventral_tube_rim_secondary_landmark_03,
row1212,z,Right_lateral-ventral_tube_rim_secondary_landmark_04,
row1213,z,Right_lateral-ventral_tube_rim_secondary_landmark_05,
row1214,z,Right_lateral-ventral_tube_rim_secondary_landmark_06,
row1215,z,Right_lateral-ventral_tube_rim_secondary_landmark_07,
row1216,z,Right_lateral-ventral_tube_rim_secondary_landmark_08,
row1217,z,Right_lateral-ventral_tube_rim_secondary_landmark_09,
row1218,z,Right_lateral-ventral_tube_rim_secondary_landmark_10,
row1219,z,Right_lateral-ventral_tube_rim_secondary_landmark_11,
row1220,z,Right_lateral-ventral_tube_rim_secondary_landmark_12,
row1221,z,Right_lateral-ventral_tube_rim_secondary_landmark_13,
row1222,z,Right_lateral-ventral_tube_rim_secondary_landmark_14,
row1223,z,Right_lateral-ventral_tube_rim_secondary_landmark_15,
row1224,z,Right_lateral-ventral_tube_rim_secondary_landmark_16,
row1225,z,Right_lateral-ventral_tube_rim_secondary_landmark_17,
row1226,z,Right_lateral-ventral_tube_rim_secondary_landmark_18,
row1227,z,Right_lateral-ventral_tube_rim_secondary_landmark_19,
row1228,z,Right_lateral-ventral_tube_rim_secondary_landmark_20,
row1229,z,Right_lateral-ventral_tube_rim_secondary_landmark_21,
row1230,z,Right_lateral-ventral_tube_rim_secondary_landmark_22,
row1231,z,Right_lateral-ventral_tube_rim_secondary_landmark_23,
row1232,z,Right_lateral-ventral_tube_rim_secondary_landmark_24,
row1233,z,Right_lateral-ventral_tube_rim_secondary_landmark_25,
row1234,z,Right_lateral-ventral_tube_rim_proximal_end_primary_landmark,
row1235,z,Right_dorsal-lateral_tube_rim_secondary_landmark_01,
row1236,z,Right_dorsal-lateral_tube_rim_secondary_landmark_02,
row1237,z,Right_dorsal-lateral_tube_rim_secondary_landmark_03,
row1238,z,Right_dorsal-lateral_tube_rim_secondary_landmark_04,
row1239,z,Right_dorsal-lateral_tube_rim_secondary_landmark_05,
row1240,z,Right_dorsal-lateral_tube_rim_secondary_landmark_06,
row1241,z,Right_dorsal-lateral_tube_rim_secondary_landmark_07,
row1242,z,Right_dorsal-lateral_tube_rim_secondary_landmark_08,
row1243,z,Right_dorsal-lateral_tube_rim_secondary_landmark_09,
row1244,z,Right_dorsal-lateral_tube_rim_secondary_landmark_10,
row1245,z,Right_dorsal-lateral_tube_rim_secondary_landmark_11,
row1246,z,Right_dorsal-lateral_tube_rim_secondary_landmark_12,
row1247,z,Right_dorsal-lateral_tube_rim_secondary_landmark_13,
row1248,z,Right_dorsal-lateral_tube_rim_secondary_landmark_14,
row1249,z,Right_dorsal-lateral_tube_rim_secondary_landmark_15,
row1250,z,Right_dorsal-lateral_tube_rim_secondary_landmark_16,
row1251,z,Right_dorsal-lateral_tube_rim_secondary_landmark_17,
row1252,z,Right_dorsal-lateral_tube_rim_secondary_landmark_18,
row1253,z,Right_dorsal-lateral_tube_rim_secondary_landmark_19,
row1254,z,Right_dorsal-lateral_tube_rim_secondary_landmark_20,
row1255,z,Right_dorsal-lateral_tube_rim_secondary_landmark_21,
row1256,z,Right_dorsal-lateral_tube_rim_secondary_landmark_22,
row1257,z,Right_dorsal-lateral_tube_rim_secondary_landmark_23,
row1258,z,Right_dorsal-lateral_tube_rim_secondary_landmark_24,
row1259,z,Right_dorsal-lateral_tube_rim_secondary_landmark_25,
row1260,z,Right_dorsal-lateral_tube_rim_proximal_end_primary_landmark,
